Name,SalesPrice,OriginalPrice,Rating,ProductLink,ImageLink
"Redmi 9 ( 64GB , 4 GB ) Black",9499,10999,3.6,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/646372370923#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/r/t/Redmi-9-64GB-4-GB-SDL649851775-1-1537a.jpg
"Xolo Era 2 ( 8GB , 1 GB ) Black",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5188147410095998352#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/h/h/d/1-31100.jpg
"Gionee s11 ( 32GB , 4 GB ) Black",7000,15399,0,https://www.snapdeal.com/product/gionee-s11-32gb-4-gb/636807898611#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/s/0/Gionee-s11-32GB-4-GB-SDL288728047-1-84064.png
"Realme Narzo 20 ( 64GB , 4 GB ) Victory Blue",11999,12999,4.0,https://www.snapdeal.com/product/realme-narzo-20-64gb-4/665892836468#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/r/o/Realme-Narzo-20-64GB-4-SDL337945507-1-f5568.jpeg
"Gionee s11 lite ( 32 GB , 4 GB ) Blue",7004,8999,3.4,https://www.snapdeal.com/product/gionee-blue-s11-lite-32/5764608157785105335#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/i/f/r/Gionee-Blue-s11-lite-32-SDL695597010-1-47f88.jpeg
"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg
"Realme C11 ( 32GB , 2 GB ) Grey",8999,9999,4.6,https://www.snapdeal.com/product/realme-c11-32gb-2-gb/640079839402#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/f/p/Realme-C11-32GB-2-GB-SDL880168590-1-9d3a9.jpeg
"Redmi Note 10 ( 64GB , 4 GB ) Aqua Green",13999,15999,0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/8070451150792751601#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/m/Redmi-Note-10-64GB-4-SDL009655497-1-0d0cc.jpg
"Realme Narzo 10A ( 32GB , 3 GB ) Blue",9803,10999,0,https://www.snapdeal.com/product/realme-narzo-10a-32gb-3/682371075796#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/f/c/Realme-Narzo-10A-32GB-3-SDL217157000-1-5eba1.jpeg
"Blackberry KEYONE ( 32 MB , 4 GB ) Black & Grey",23999,31999,3.0,https://www.snapdeal.com/product/blackberry-black-keyone-32-mb/6917529649199044221#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/g/t/d/Blackberry-Black-Grey-KEYONE-32-SDL364907883-1-f19ae.jpeg
"Samsung M02s ( 32GB , 3 GB ) Blue",9999,10499,0,https://www.snapdeal.com/product/samsung-m02s-32gb-3-gb/6917529706520383582#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/s/m/Samsung-M02s-32GB-3-GB-SDL291597116-1-d08b2.jpg
"Oppo A15s ( 64GB , 4 GB ) Silver",12990,13990,0,https://www.snapdeal.com/product/oppo-a15s-64gb-4-gb/5764608177391873536#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/s/t/Oppo-A15s-64GB-4-GB-SDL807548403-1-58e0e.jpg
"Realme XT ( 64GB , 6 GB ) White",17999,18999,0,https://www.snapdeal.com/product/realme-xt-64gb-6-gb/661600837444#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/i/t/2/Realme-XT-64GB-6-GB-SDL850761714-1-1a9fb.jpeg
"Redmi 9A ( 32GB , 2 GB ) Black",7749,8999,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/6917529701857746477#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/i/1/Redmi-9A-32GB-2-GB-SDL962065231-1-8c0d1.jpg
"MI 11x 5G ( 128GB , 6 GB ) Black",30499,33999,0,https://www.snapdeal.com/product/mi-11x-5g-128gb-6/645527672600#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/s/u/MI-11x-5G-128GB-6-SDL631274231-1-060d4.jpg
"Realme Narzo 30A ( 32GB , 3 GB ) Blue",9499,9999,0,https://www.snapdeal.com/product/realme-narzo-30a-32gb-3/639295906541#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/s/d/Realme-Narzo-30A-32GB-3-SDL263127531-1-6e348.jpg
"Samsung Galaxy M11 ( 64GB , 4 GB ) Blue",11003,14999,3.0,https://www.snapdeal.com/product/samsung-galaxy-m11-64gb-4/655889303670#bcrumbLabelId:175,https://n4.sdlcdn.com/imgs/j/r/6/Samsung-Galaxy-M11-64GB-4-SDL630399095-1-1b2a0.jpeg
"Redmi 6A ( 16GB , 2 GB ) Black",7004,7399,0,https://www.snapdeal.com/product/redmi-6a-16gb-2-gb/674659825952#bcrumbLabelId:175,https://n1.sdlcdn.com/imgs/j/s/c/Redmi-6A-16GB-2-GB-SDL994214561-1-b151a.jpg
"Samsung Galaxy M31 ( 128GB , 6 GB ) Black",18003,19999,0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808#bcrumbLabelId:175,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg
"Redmi 9A ( 32GB , 2 GB ) Green",7899,8499,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/8070451206464593453#bcrumbLabelId:175,https://n2.sdlcdn.com/imgs/j/o/i/Redmi-9A-32GB-2-GB-SDL880361485-1-8764b.jpeg
"Gionee s11 ( 32GB , 4 GB ) Black",7000,15399,0,https://www.snapdeal.com/product/gionee-s11-32gb-4-gb/636807898611,https://n3.sdlcdn.com/imgs/j/s/0/Gionee-s11-32GB-4-GB-SDL288728047-1-84064.png
"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg
"Redmi 9 ( 64GB , 4 GB ) Sporty Orange",9503,10999,4.3,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/8070451197392499197,https://n4.sdlcdn.com/imgs/j/q/v/Redmi-9-64GB-4-GB-SDL739288936-1-73c5f.jpeg
"Oppo A31 ( 128GB , 6 GB ) White",12999,12999,0,https://www.snapdeal.com/product/oppo-a31-128gb-6-gb/5764608208615530194,https://n4.sdlcdn.com/imgs/j/s/u/Oppo-A31-128GB-6-GB-SDL401820187-1-ec2c9.jpg
"Realme Narzo 30A ( 32GB , 3 GB ) Blue",9499,9999,0,https://www.snapdeal.com/product/realme-narzo-30a-32gb-3/639295906541,https://n3.sdlcdn.com/imgs/j/s/d/Realme-Narzo-30A-32GB-3-SDL263127531-1-6e348.jpg
"Xolo Era 2 ( 8GB , 1 GB ) Black",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5188147410095998352,https://n3.sdlcdn.com/imgs/h/h/d/1-31100.jpg
"Redmi 9A ( 32GB , 2 GB ) Black",7749,8999,4.3,https://www.snapdeal.com/product/redmi-9a-32gb-2-gb/6917529701857746477,https://n1.sdlcdn.com/imgs/j/i/1/Redmi-9A-32GB-2-GB-SDL962065231-1-8c0d1.jpg
"INFINIX Hot 10 ( 64GB , 4 GB ) Moonlight Jade",10803,11999,0,https://www.snapdeal.com/product/infinix-hot-10-64gb-4/675277438920,https://n2.sdlcdn.com/imgs/j/r/0/INFINIX-Hot-10-64GB-4-SDL437333774-1-71e81.jpg
"Samsung M02s ( 32GB , 3 GB ) Blue",9999,10499,0,https://www.snapdeal.com/product/samsung-m02s-32gb-3-gb/6917529706520383582,https://n2.sdlcdn.com/imgs/j/s/m/Samsung-M02s-32GB-3-GB-SDL291597116-1-d08b2.jpg
"Samsung Galaxy M31 ( 128GB , 6 GB ) Black",18003,19999,0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg
"Redmi 9 ( 64GB , 4 GB ) Black",9503,10999,4.3,https://www.snapdeal.com/product/redmi-9-64gb-4-gb/5188147435875381757,https://n2.sdlcdn.com/imgs/j/s/1/Redmi-9-64GB-4-GB-SDL901092064-1-734e4.jpeg
"Motorola E7 Plus ( 64GB , 4 GB ) Blue",11003,12999,4.0,https://www.snapdeal.com/product/motorola-e7-plus-64gb-4/655047794917,https://n4.sdlcdn.com/imgs/j/r/e/Motorola-E7-Plus-64GB-4-SDL889289135-1-68494.jpg
"MI 11x 5G ( 128GB , 6 GB ) Black",30499,33999,0,https://www.snapdeal.com/product/mi-11x-5g-128gb-6/645527672600,https://n4.sdlcdn.com/imgs/j/s/u/MI-11x-5G-128GB-6-SDL631274231-1-060d4.jpg
"Samsung M02s ( 32GB , 3 GB ) Black",9999,10499,0,https://www.snapdeal.com/product/samsung-m02s-32gb-3-gb/8070451211127230558,https://n1.sdlcdn.com/imgs/j/s/n/Samsung-M02s-32GB-3-GB-SDL393130982-1-d2c5e.jpg
"Oppo A15s ( 64GB , 4 GB ) Silver",12990,13990,0,https://www.snapdeal.com/product/oppo-a15s-64gb-4-gb/5764608177391873536,https://n4.sdlcdn.com/imgs/j/s/t/Oppo-A15s-64GB-4-GB-SDL807548403-1-58e0e.jpg
"Gionee s11 lite ( 32 GB , 4 GB ) Blue",7004,8999,3.4,https://www.snapdeal.com/product/gionee-blue-s11-lite-32/5764608157785105335,https://n3.sdlcdn.com/imgs/i/f/r/Gionee-Blue-s11-lite-32-SDL695597010-1-47f88.jpeg
"Samsung Galaxy M11 ( 64GB , 4 GB ) Blue",10999,14999,5.0,https://www.snapdeal.com/product/samsung-samsung-galaxy-m11-64gb/5764608147400678360,https://n2.sdlcdn.com/imgs/j/d/8/Samsung-Samsung-Galaxy-M11-64GB-SDL640495257-1-b3d14.jpeg
"INFINIX Hot 10 Play ( 64GB , 4 GB ) Green",10999,10999,0,https://www.snapdeal.com/product/infinix-hot-10-play-64gb/8070451216034039121,https://n2.sdlcdn.com/imgs/j/s/y/INFINIX-Hot-10-Play-64GB-SDL475050058-1-7e8bc.png
"Redmi 9 Power ( 64GB , 4 GB ) Black",11399,13999,4.3,https://www.snapdeal.com/product/redmi-9-power-64gb-4/6917529675684212900,https://n2.sdlcdn.com/imgs/j/r/6/Redmi-9-Power-64GB-4-SDL961566844-1-b0a59.jpeg
"Samsung Galaxy M11 ( 64GB , 4 GB ) Black",11003,14999,5.0,https://www.snapdeal.com/product/samsung-samsung-galaxy-m11-64gb/6917529652007525336,https://n1.sdlcdn.com/imgs/j/e/z/Samsung-Galaxy-M11-64GB-4-SDL741428330-1-f4c1f.jpeg
"Samsung Galaxy M31 ( 128GB , 6 GB ) Black",18003,19999,0,https://www.snapdeal.com/product/samsung-galaxy-m31-128gb-6/670462998808,https://n3.sdlcdn.com/imgs/j/g/e/Samsung-Galaxy-M31-128GB-6-SDL405975940-1-8af9a.jpeg
"Samsung Galaxy F02s ( 64GB , 4 GB ) Black",11299,11499,0,https://www.snapdeal.com/product/samsung-galaxy-f02s-64gb-4/6917529659665043716,https://n1.sdlcdn.com/imgs/j/s/f/Samsung-Galaxy-F02s-64GB-4-SDL762943059-1-39543.jpg
"INFINIX Hot 10 ( 64GB , 4 GB ) Moonlight Jade",10803,11999,0,https://www.snapdeal.com/product/infinix-hot-10-64gb-4/675277438920,https://n2.sdlcdn.com/imgs/j/r/0/INFINIX-Hot-10-64GB-4-SDL437333774-1-71e81.jpg
"Xolo Era 2 ( 8GB , 1 GB ) Black",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/5188147410095998352,https://n3.sdlcdn.com/imgs/h/h/d/1-31100.jpg
"Xolo Era 2 ( 8GB , 1 GB ) Pyramid Gold",4463,,3.8,https://www.snapdeal.com/product/xolo-era-2-8gb-black/6341068914702845328,https://n4.sdlcdn.com/imgs/h/h/d/1-1bfa8.jpg
"Swipe Elite Pro ( 32GB , 3 GB ) White",6990,,3.5,https://www.snapdeal.com/product/swipe-elite-pro-32gb/6917529688857288489,https://n1.sdlcdn.com/imgs/h/i/3/Swipe_Elite_Pro_32GB_3GB-6bba5.jpg
"I-Smart IS-204-Flip ( 128 MB , 256 MB ) Purple",1184,,3.1,https://www.snapdeal.com/product/ismart-is204flip-128-mb-purple/6917529647941964418,https://n3.sdlcdn.com/imgs/e/d/p/I-Smart-IS-204-Flip-SDL698064073-1-147cf.jpg
"Nokia 3 ( 16GB , 2 GB ) Matte Black",8303,,3.7,https://www.snapdeal.com/product/nokia-nokia-3-16gb/8646911943061116645,https://n4.sdlcdn.com/imgs/g/h/d/SDL804110145-c68db.jpg
"Redmi Note 10 ( 64GB , 4 GB ) Black",14003,15999,0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/6917529653601744988,https://n1.sdlcdn.com/imgs/j/s/n/Redmi-Note-10-64GB-4-SDL604565493-1-413d2.jpg
"Lenovo A6600D40 ( 16GB , 2 GB ) Black",5512,,3.8,https://www.snapdeal.com/product/lenovo-a6600-plus-16gb-white/5188147405905959959,https://n4.sdlcdn.com/imgs/d/a/l/Lenovo-A6600-Plus-16GB-Black-SDL362118935-1-12705.jpg
"Swipe Konnect Grand ( 8GB , 1 GB ) Black",2998,,3.4,https://www.snapdeal.com/product/swipe-konnect-grand-8gb-black/643354569318,https://n3.sdlcdn.com/imgs/e/9/g/Swipe-Konnect-Grand-8GB-Black-SDL740214486-1-1e8cd.jpg
"Motorola G10 Power ( 64GB , 4 GB ) Blue",12003,12999,0,https://www.snapdeal.com/product/motorola-g10-power-64gb-4/623701355831,https://n2.sdlcdn.com/imgs/j/s/q/Motorola-G10-Power-64GB-4-SDL266022278-1-ff75c.jpg
"Redmi Note 9 pro max ( 64GB , 6 GB ) Gold",16499,18499,0,https://www.snapdeal.com/product/redmi-note-9-pro-max/8070451180120500996,https://n1.sdlcdn.com/imgs/j/s/p/Redmi-Note-9-pro-max-SDL892021472-1-8aead.jpg
"Redmi Note 10 ( 64GB , 4 GB ) Aqua Green",14003,15999,0,https://www.snapdeal.com/product/redmi-note-10-64gb-4/8070451158208591964,https://n4.sdlcdn.com/imgs/j/s/n/Redmi-Note-10-64GB-4-SDL416012103-1-85817.jpg
"Intex Intex Aqua Style III ( 16GB , 1 GB ) Champagne",4099,,3.6,https://www.snapdeal.com/product/intex-intex-aqua-style-iii/5764608165559132058,https://n2.sdlcdn.com/imgs/g/w/l/Intex-Aqua-Style-3-16GB-SDL520079859-1-13c2e.jpg
